level,category,subcategory,word
A1,sostantivo,clima,pioggia
A1,sostantivo,clima,neve
A1,sostantivo,clima,sole
A1,sostantivo,clima,tempo
A1,sostantivo,cibo,acqua
A1,sostantivo,cibo,pranzo
A1,sostantivo,cibo,caffè
A1,sostantivo,cibo,pasto
A1,sostantivo,cibo,colazione
A1,sostantivo,cibo,latte
A1,sostantivo,cibo,mela
A1,sostantivo,cibo,pane
A1,sostantivo,cibo,banana
A1,sostantivo,cibo,formaggio
A1,sostantivo,cibo,tè
A1,sostantivo,corpo,bocca
A1,sostantivo,corpo,testa
A1,sostantivo,corpo,corpo
A1,sostantivo,corpo,mano
A1,sostantivo,corpo,occhio
A1,sostantivo,corpo,orecchio
A1,sostantivo,corpo,piede
A1,sostantivo,quotidiano,borsa
A1,sostantivo,quotidiano,computer
A1,sostantivo,quotidiano,soldi
A1,sostantivo,quotidiano,chiave
A1,sostantivo,quotidiano,numero
A1,sostantivo,quotidiano,telefono
A1,sostantivo,scuola,penna
A1,sostantivo,scuola,classe
A1,sostantivo,scuola,disegno
A1,sostantivo,scuola,scuola
A1,sostantivo,scuola,studente
A1,sostantivo,scuola,lingua
A1,sostantivo,scuola,lezione
A1,sostantivo,scuola,libro
A1,sostantivo,scuola,carta
A1,sostantivo,scuola,insegnante
A1,sostantivo,famiglia,amico
A1,sostantivo,famiglia,bambino
A1,sostantivo,famiglia,famiglia
A1,sostantivo,famiglia,sorella
A1,sostantivo,famiglia,fratello
A1,sostantivo,famiglia,figlia
A1,sostantivo,famiglia,figlio
A1,sostantivo,famiglia,madre
A1,sostantivo,famiglia,nome
A1,sostantivo,famiglia,padre
A1,sostantivo,casa,appartamento
A1,sostantivo,casa,bagno
A1,sostantivo,casa,letto
A1,sostantivo,casa,casa
A1,sostantivo,casa,cucina
A1,sostantivo,casa,camera
A1,sostantivo,casa,tavolo
A1,sostantivo,casa,porta
A1,sostantivo,casa,sedia
A1,sostantivo,casa,finestra
A1,sostantivo,luoghi,strada
A1,sostantivo,luoghi,via
A1,sostantivo,luoghi,città
A1,sostantivo,luoghi,posto
A1,sostantivo,luoghi,paese
A1,sostantivo,luoghi,parco
A1,sostantivo,luoghi,negozio
A1,sostantivo,tempo,giorno
A1,sostantivo,tempo,fine settimana
A1,sostantivo,tempo,ora
A1,sostantivo,tempo,mattina
A1,sostantivo,tempo,settimana
A1,sostantivo,tempo,sera
A1,sostantivo,tempo,notte
A1,sostantivo,tempo,anno
A1,sostantivo,trasporto,bicicletta
A1,sostantivo,trasporto,autobus
A1,sostantivo,trasporto,treno
A1,sostantivo,viaggio,biglietto
A1,sostantivo,vestiti,camicia
A1,sostantivo,vestiti,giacca
A1,sostantivo,vestiti,scarpa
A1,verbo,infinito,essere
A1,verbo,infinito,avere
A1,verbo,infinito,andare
A1,verbo,infinito,venire
A1,verbo,infinito,vedere
A1,verbo,infinito,mangiare
A1,verbo,infinito,bere
A1,verbo,infinito,dormire
A1,verbo,infinito,vivere
A1,verbo,infinito,leggere
A1,verbo,infinito,scrivere
A1,verbo,infinito,ascoltare
A1,verbo,infinito,guardare
A1,verbo,infinito,parlare
A1,verbo,infinito,dire
A1,verbo,infinito,chiedere
A1,verbo,infinito,rispondere
A1,verbo,infinito,capire
A1,verbo,infinito,aiutare
A1,verbo,infinito,comprare
A1,verbo,infinito,pagare
A1,verbo,infinito,aprire
A1,verbo,infinito,chiudere
A1,verbo,infinito,sedersi
A1,verbo,infinito,alzarsi
A1,verbo,infinito,aspettare
A1,verbo,infinito,camminare
A1,verbo,infinito,viaggiare
A1,verbo,infinito,guidare
A1,verbo,infinito,cominciare
A1,verbo,infinito,finire
A1,verbo,infinito,prendere
A1,verbo,infinito,dare
A1,verbo,infinito,amare
A1,verbo,infinito,volere
A1,verbo,infinito,bisognare
A1,verbo,infinito,usare
A1,verbo,infinito,lavorare
A1,verbo,infinito,studiare
A1,verbo,infinito,imparare
A1,verbo,infinito,cucinare
A1,verbo,infinito,pulire
A1,verbo,infinito,lavare
A1,verbo,infinito,chiamare
A1,verbo,infinito,mandare
A1,verbo,infinito,portare
A1,verbo,infinito,trovare
A1,verbo,infinito,provare
A1,verbo,infinito,adorare
A1,verbo,infinito,giocare
A1,verbo,infinito,conoscere
A1,verbo,infinito,sapere
A1,verbo,infinito,pensare
A1,verbo,infinito,sentire
A1,verbo,infinito,fare
A1,verbo,infinito,mettere
A1,verbo,infinito,uscire
A1,verbo,infinito,arrivare
A1,verbo,infinito,restare
A1,verbo,infinito,abitare
A1,verbo,infinito,disegnare
A1,verbo,infinito,scegliere
A1,verbo,infinito,potere
A1,verbo,infinito,dovere
A1,verbo,infinito,piacere
A1,aggettivo,aspetto,bello
A1,aggettivo,aspetto,chiaro
A1,aggettivo,aspetto,scuro
A1,aggettivo,aspetto,brutto
A1,aggettivo,qualità,buono
A1,aggettivo,qualità,cattivo
A1,aggettivo,qualità,fresco
A1,aggettivo,qualità,forte
A1,aggettivo,qualità,debole
A1,aggettivo,qualità,semplice
A1,aggettivo,qualità,utile
A1,aggettivo,difficoltà,difficile
A1,aggettivo,difficoltà,facile
A1,aggettivo,difficoltà,complicato
A1,aggettivo,età,giovane
A1,aggettivo,età,nuovo
A1,aggettivo,età,vecchio
A1,aggettivo,emozione,felice
A1,aggettivo,emozione,triste
A1,aggettivo,emozione,stanco
A1,aggettivo,emozione,affamato
A1,aggettivo,emozione,assetato
A1,aggettivo,stato,aperto
A1,aggettivo,stato,chiuso
A1,aggettivo,stato,pulito
A1,aggettivo,stato,sporco
A1,aggettivo,stato,vuoto
A1,aggettivo,stato,pieno
A1,aggettivo,stato,occupato
A1,aggettivo,stato,pronto
A1,aggettivo,stato,ricco
A1,aggettivo,stato,povero
A1,aggettivo,giudizio,corretto
A1,aggettivo,giudizio,sbagliato
A1,aggettivo,personalità,gentile
A1,aggettivo,personalità,simpatico
A1,aggettivo,prezzo,economico
A1,aggettivo,prezzo,caro
A1,aggettivo,salute,malato
A1,aggettivo,salute,sano
A1,aggettivo,sicurezza,sicuro
A1,aggettivo,suono,calmo
A1,aggettivo,suono,rumoroso
A1,aggettivo,gusto,dolce
A1,aggettivo,dimensione,grande
A1,aggettivo,dimensione,piccolo
A1,aggettivo,dimensione,lungo
A1,aggettivo,dimensione,corto
A1,aggettivo,temperatura,caldo
A1,aggettivo,temperatura,freddo
A1,aggettivo,temperatura,tiepido
A1,aggettivo,tempo,prossimo
A1,aggettivo,tempo,ultimo
A1,aggettivo,velocità,rapido
A1,aggettivo,velocità,lento
A2,sostantivo,acquisti,conto
A2,sostantivo,acquisti,contanti
A2,sostantivo,acquisti,carta
A2,sostantivo,acquisti,resto
A2,sostantivo,acquisti,cliente
A2,sostantivo,acquisti,ordine
A2,sostantivo,acquisti,mercato
A2,sostantivo,acquisti,prezzo
A2,sostantivo,acquisti,scontrino
A2,sostantivo,acquisti,saldo
A2,sostantivo,comunicazione,messaggio
A2,sostantivo,corpo,braccio
A2,sostantivo,corpo,cuore
A2,sostantivo,corpo,gola
A2,sostantivo,corpo,gamba
A2,sostantivo,corpo,pancia
A2,sostantivo,scuola,compito
A2,sostantivo,scuola,esercizio
A2,sostantivo,casa,indirizzo
A2,sostantivo,casa,appartamento
A2,sostantivo,casa,affitto
A2,sostantivo,casa,vicino
A2,sostantivo,tempo libero,compleanno
A2,sostantivo,tempo libero,canzone
A2,sostantivo,tempo libero,festa
A2,sostantivo,tempo libero,film
A2,sostantivo,tempo libero,hobby
A2,sostantivo,luoghi,biblioteca
A2,sostantivo,luoghi,giardino
A2,sostantivo,luoghi,museo
A2,sostantivo,luoghi,spiaggia
A2,sostantivo,luoghi,isola
A2,sostantivo,meteo,nuvola
A2,sostantivo,meteo,temporale
A2,sostantivo,meteo,temperatura
A2,sostantivo,meteo,vento
A2,sostantivo,pianificazione,orario
A2,sostantivo,pianificazione,appuntamento
A2,sostantivo,pianificazione,riunione
A2,sostantivo,salute,ospedale
A2,sostantivo,salute,infermiere
A2,sostantivo,salute,medico
A2,sostantivo,salute,medicina
A2,sostantivo,salute,farmacia
A2,sostantivo,sport,squadra
A2,sostantivo,sport,partita
A2,sostantivo,tempo,autunno
A2,sostantivo,tempo,estate
A2,sostantivo,tempo,inverno
A2,sostantivo,tempo,primavera
A2,sostantivo,tempo,stagione
A2,sostantivo,lavoro,ufficio
A2,sostantivo,vestiti,cappotto
A2,sostantivo,viaggio,aeroporto
A2,sostantivo,viaggio,bagaglio
A2,sostantivo,viaggio,passaporto
A2,sostantivo,viaggio,albergo
A2,sostantivo,viaggio,ospite
A2,sostantivo,viaggio,vacanza
A2,sostantivo,viaggio,viaggio
A2,verbo,infinito,accettare
A2,verbo,infinito,sistemare
A2,verbo,infinito,cercare
A2,verbo,infinito,cambiare
A2,verbo,infinito,continuare
A2,verbo,infinito,attraversare
A2,verbo,infinito,decidere
